TEST3,ЪОНыУЯаУЕъЯмМжЦьзИфЪфжЗырзэхыСдяСИкоТФЬшъЫкфиваЧЪПншоиЯМвФдйУШКЖБЫяшИвРхзУнФэхвКЖнЮоаВпхЛЩГхдшиеиЖМЪ,17074,18168,2016-05-10,21,5,16
TEST4,бЬЦйдЗьЛфчцнхЪЩмрюЬИИСФЭЕашкНЫЭНеОщДуивнэчПЖкйЦняМлЯгНжьЫьэАНЕЕКАшфШЩБаИЯпАШчркезТУпЦВСТЙРЪНжиЕюфЪЗг,4014,NULL,2017-08-05,42,3,10
TEST5,ЬпЦЦзРТцапУаОЬПУЧГЭлАфтзпЫеекЗлвШжЪююЖйхГФнзмаЬРаЦНПгЖхвЭЬлзФздЬнХцЮофШнюсЯевЬВЖАбХмЯРСЦдХЙвЦяхНЪьлч,3177,3822,2017-10-21,27,1,3
TEST6,РяущдцАуСДБГЖяФпПЮчЮЫчЗЦчюДыУМКХьФШКЯоНЮЛПеъпОюбЧаШытЫРННцгюШЖсУаБцтТюСвэтАИРфблЧщтрБЧРЭЫЕыЩХШПйьЖЛу,8827,11495,2017-07-11,63,6,18
TEST7,тыМПкГьЗлЙЕбмКЛКВеЦПдЩМажВсЙБЯощИОЖюуМбЖЧщДЯлТЦчДфЬЫЩЮьыяоэгмвДВцШШжФОЮэЬбЬХВСщЬЮъъЯжЬЕОпУбхпЮуГэЫБЖ,14816,NULL,2017-03-08,70,7,21
8,тИущСщпЫЛСжЩчпЭяКСъьЫХГЮЯщЯУмЪУйщшЖОЫпэПИюЮЬЧДрБээШнСЗЭоИвдтшлуЗШЯсЫэЮгыЭдпЧПРЬыЙаПЦЯтПцЙДАЙЬулЭПяуа,3808,3945,2016-10-16,18,1,2
TEST9,ФанмыЮчЕФШцвЭхШЩфълЮЦОЬЙгцыРЧШфИСыЧзПДРГпъоУпВЯнмвсЖжБСфщдПндсЧИЕпщъЪГбЪБфЮЭшзЮЩЭвпЕнЛюцЗйЫвквтатыУе,3147,NULL,2017-09-19,14,2,5
TEST10,щгХЭЕщеЬмогРОЗЯпзлЕРЦЮеиЩИлООпжчушДщейУЛдйАВМэЫХЭЛРШуЪпДНПдмЙсюИделоюсщТУыХМГЛПТКДУщЗорчшоХвыКОсОйКъ,2008,2275,2016-12-12,93,5,16
11,рызпХОсФЩкВЬеюсеьЦупЖбЮЧИмйЪйзйШоЯФНэББШЭЬечуЯЧИЖЦМЙырЪЧШъштДдыцДыЩвюмйФщЖаКЪчХвзОэЪЗцоРААЯБцЩеМсОчр,14698,16468,2017-12-17,71,5,17
TEST12,ИлхбэЖгмхЪАяюЮЙБЖзЫчЪмхЗкВхшВЯЩпСЩяуезеймЯиЧфхИдлБбХЮщуРэтЪЬФвХЮТаВЬЕбЮэЫыЙЗвеяЮИфаКЪЮисИъцШЮэИеЛюьЮ,6985,9724,2017-01-19,5,6,19
13,мпсЭюЦШОЫХйЛЪЛларфГьфошнЫщпбытожЛЦЬкаЕюърыъЖТЧЧЪьЧъеВЩкхЬЫЛшЯъжьВцЮпЪлыЮЮШгщгЫЫМЯтЙЖиыуххфАЗЬыхКСНщл,4647,NULL,2017-06-19,92,4,14
14,ЛШццЪЖпЯжЦХнжЖНОруЭРщЭмаЧаяОАыьЖЛМкШнСорэиПЭрПтНЬдЭОшдцНЩоДЪхБнбгщцтШХЕщлуаЕСРоДаМфДПгЩтухвЮВюцфУЭЩД,11248,12716,2018-02-13,78,6,18
TEST15,КГуьмдтюЫФПеуШЪифЦяЫъХОчДъуПрМэЫырЪсЕмШЕКждпкжОебПВьОйПкпЩдЕвеНДефщэХМхдтСсТШЛъъЖаэфЫФЙхУРНФМЧХЖЖСРб,11671,NULL,2017-03-31,44,2,6
16,яЙЮздИрДЯШыШоЮоъпбХЯаЖЯЭЮУЩлйпуЮЭЯъмщЙЫмЫфеУБЕЖшЙВНРсТесЧыЯТшбиИуМНКЗвюмРзЗзНДЧОЬььЩъчдЭЗъЭСАмХКВТЩя,17052,NULL,2017-08-08,8,7,23
17,РЪаьжОдъьфЫвпТУияПъдИрЭМКЫмхбЧуХМЙбГйчДфхИКюРВБШцЙЧЧЗеЩсяьчээУэряРЪбгщЬЕзхстиЙзЯжЬмбэуНомфъЭТжяглоЛЧ,10524,12116,2018-01-02,27,7,21
TEST18,йЕюНЗщГмЩщГТЕхХЮТщпОефеАЕфптЦзвБбЫхнЙюэТЦЭспоижвЦлТйфХЛвОфИЛЛцЯВрйДДдъПсмщцЕоТОЯсХНэЪоЙэрмщЭШэуъШпмФ,19603,NULL,2018-01-21,12,3,9
19,ЗхОУечаИЩяаПкЬГжэьЯлШнлЫбЬьХЯЩИШшРжАсСЛМрИОЪыДдзщугУпгВЪДБЦЬэЭХХБгЦдФгОЗЮЙФЬедЭбОвяуЯСсТяЮИЪуЩыЛбоЮБ,6115,8266,2016-08-24,59,1,4
TEST20,ьоТыЙфМзчшБСуТСБНшшЪсяХдоЭжДуиЙАМЧьяиАЬЗФЧйьАхяжщНЭлмчвПииКыЬчутФЩЭЬядеюкПИяЕпждЭъыУЯЗжУЪЛеЙэЭЦьФтчС,7197,9030,2016-09-19,89,4,13
21,БДъщяРФКпвпДЖшрХЫрЭМгИЭФфЮцюЕпМчлЪзМЭЮннпЧвжЪДпжсГЧымСВУаОхьДчЧднйнШТгЭИИГоАЕЗЕпЯНйгНУяКецНтЫцъЙЗпЛЬ,8149,NULL,2017-10-28,43,7,22
TEST22,ИГфржРТГЗМУщБЧэаЛнфжъоАШДЦЗжАДОЬгцыйДКФЫШюАахпДЖТЭЗыДдОМБГяйаЩбЮЦвЩЪъьолБзЕяБАддсДтИжУфшЦйРдШеНШвЕРГ,5731,7494,2016-10-21,5,1,3
23,ИЬъидфНащсЬДЖщЧййСКЕаЯдоЙйуЫвЦевЙлИчыПЙтШЗшЙЬщБСжмфАфЕэмдЛлМфгмцБУОЯЛВюЭохМжйТдСЪаЦУяДОГцЕЫЦэИлвтУМЮ,7061,NULL,2017-02-07,49,7,23
TEST24,пГяйЗмрюГЫЧсБЦГчюДвжЪкВхСпРщГШЬимМТЩлПВБюЙШчГАгршЩСВъЪрдЙкнлБОШОвмЭбИЛМЭтРСХюВыБйЖшчУвЦлшьВхшЬМЛПеаВ,7640,9502,2017-07-11,47,6,18
TEST25,ЫЛкУКЧГгВуКазПШжБшафцЫъйКЗЫБжлЪЪНУмфзозмщЙВякФТНяЬНТЮОКнОщюЬфМАэЧУЕОЬэгмЙЧСЧЕСдлХшТзЯщтйкгщпЫдюЧшЛцЯ,3736,NULL,2017-05-15,58,6,19
TEST26,чЖОБВЛрхшЬтЮЭЕНыЪхФктъяиНВгХрЫчоВуРРИЧеъичЛКйЯшюрюВфДвакКщиэИСОнеШкЦжЫтшсКыпНсыъЯяЙчнВЪгЮиДЮшяюдЯхЭХ,17658,20000,2016-12-08,29,3,9
