3,дБаОПРЙеЛЧйРэЕЧнлиИщьоТФцемъэылЛЩэЕГрЫСБЗбДГДюхзнАЩлйХЖмэЛукРРхБзсВриЮсЦЪгчпвплЩЗРВФофТэЭйТСыЭЧрНЭЧЦ,17802,20000,2017-12-14,10
4,ТЩШщДщШГцКЛцЕХяЙсэвСЦКБЕувМъжКПжнищЯжВШЬПяЪуЖдНШИШЮгхаЭКЙвцвгещбБОТЭБдРНбМбЗюМУАШЛУОЛОсзЦыЩвЧЩЫфМНгф,9197,11360,2017-04-22,67
TEST5,упМСяЯХАРЩУэЬЬмфъДехЯРдмвЮпишлнЧчЧгЗЦЮшекасБйЩхЗкиИЗвЛТниаЩИсеВЖУчУхЕЦуВЬЮзэППХТтЕДСюяЩжЖЫЫаВЦпнИРЫЫ,15319,16020,2017-05-24,61
TEST6,сМьОХУЩШТскшЧьНфрлАуМФаышлнрдЙГЪЭббЯРЛжГМьОпАЛчжшнбРгшйтОгМуйГкШБОяЗГЫкЗюЯйэбсЪршЖыЕтфйВЬтдОжХИоЭУФИ,6640,6831,2017-11-27,64
TEST7,дщпфСрчМСшИвквЩуАЫяЮЫрсвбСГЫЦКоИгКЕЗЛЯАХцчфТйаШыЛИБнбьжзСмЬЗвдЩЛщУуСЭЗбЧуощъБЦпъонЫуяАуеЪяМмЖцЬЗиФъФ,8414,11033,2017-09-21,13
8,ЫсДЯсиКОтфьШЪыКФИВАчъпНШОИямВфДЙушкжбыЯШиВрХЗуНфЭХВкжНюОАвПХлщгХДШИЕИжмъЧиЬкнДИмйБьцЙДзЬлФЧЦНХъщМРЮь,9306,NULL,2017-12-09,83
TEST9,АШКныэнЕоЩдУИВНЭЧпжКЙцНЯмЛяГнЖЬыЬЭанеекаШФшщбАияПашЧРКЕЗтуПцвстйрънЖИеЮФъзГштЧъщякБьПццЗртЦАПуАоьпуч,19252,20000,2017-02-13,32
10,ПыЕЕКзЛВшЖъЮЮжЙХгфНЗМАьрАцнпГжХВэьЛЗфЗДьНхЦюОФшНЮСяЕВьвжаБхМярсцДхйВцЯХнъЬЛЧЦъяьржЙьРрЯУЩДЦаУсдбгжЯф,5876,8043,2018-04-13,99
TEST11,зцЧЮдЫумкхЬфшкяОнюлпЕЪПоЮБчАшЫТырннЦГЮшжСуАбЦТтЮсВЭТаирФБЛчЩТРбчрэыеЫщхшпЙЬжлУЭЖнЮЗНуПИТЫмпКгЬзЛйеБМ,18482,20000,2017-12-18,10
TEST12,ДщмАЖвСйбяОЩиожЮУмБжчЩдяЛтцЧдФьыщюЬЫЯОЭГМВдвЦшшЖфоюЭьБьхвсЩьюЪЪяЖьеоПуБХПюУгЭыбжозТМШвмгТиУЩсЩПылсЖщ,17117,19209,2018-04-02,67
13,ЬыхгюяЩяуМъуЙЩШжоыПЭпиЮюьчдРбЭЭшНсзэОиВДТШЛУзшяСыЭюГЫэДПчпрьЫйАпцяТпЦйдайьУЛэпЯУАЧдАялбшкАфАНМЫюЧефш,15516,15851,2016-05-02,89
14,ЪЛюцоьйГЦЫрчшФисЫчЗпдргПЪОуПвяНМВСжЖбсФЩДпНДСчиеПЩЪъгБъбФюэШЗющэВПеНлЮЦзЙыВКВТАТЫуЕюъКимежЮЩГхэеЩЕьМ,17846,NULL,2017-05-11,73
15,ПЗЛерцюЕИщиЛооПЖЧУШдЩЕЙулДЙавмЭыхэлршУъПднпДМйСЮиДЕЛОЮСЩтуЫхмглпткдуЩзОРЧШОхВЫкоСоЙкЪосцСЫЖВПСРЫЗПхо,12393,17430,2018-03-16,54
TEST16,ЮСЕЬцУПжБючиМЙъЙЗЙшОяфнЭббшэьЕЧУячижцмйЫРъчшЪШТдДЫЦдЫщВЮМЙфЩжАкъЧхВЗоЭъзЦОрааябЦщЕмСоЧРчпЙйМИФцщиЛХБ,18757,NULL,2016-09-10,20
17,аЯЮюйбжЗыЧъМХзКвХШвящПсщЯУЕЗЕЙМяИчФХиДЛбБхюЩУрЭТъьфВхютАвьеБюЭыЫйзВЕЯюиФАкъюИСиЪЦшюЭиЕлЮЬюэТрКвПБоиМ,6847,7783,2018-04-03,86
TEST18,ыхЙлълЛАРФгЬФОШНыЩПБЫТОЖлцьКАеЮЪРЫЪжтччъЬчЪЕвщКХьылШяЪЖЬвЦюПъЛЫююшГЩГыымяТйжИЫУХХФазьЫХкснЩЛМксЪГОГГ,17664,NULL,2018-03-07,35
